State,Internal Call Notes,Landfill Name,Type,Accept LQG?,PV OK?,Restrictions,Owner/Operator,Contant Phone,Contact 2,Location,Website,Cost (as of July 2024),Per,Unit,Per Panel,Used in Calc?,Notes,
AZ,,Speedway Construction Debris Landfill,Private Landfill,,Yes,No hazardous waste; No liquids,Tank's Green Stuff,(520) 290-8588,,"7301 E Speedway Blvd. Tuscon, AZ ",https://www.tanksgreenstuff.com/speedway-recycling-landfill,35.5,2000,lbs,1.2425,1,,
AZ,,State Route 85 Landfill,,,,,,,,,,,,,,,,
AZ,,Town of Patagonia Landfill,,,,,,,,,,,,,,,,
NV,,Battle Mountain,,,,,,,,,,,,,,,,
NV,,Beatty Facility,Private landfill,,Yes,RCRA Non-haz,Republic Services 800-239-3943,Kris Iverson: 971-803-1239,Sean Russel: 310-619-6063,"Hwy 95, 11 Miles S of Beatty, NV 89003",https://www.republicservices.com/facilities/nevada/beatty-facility,100,2000,lbs,3.5,1,"To get an exact quote, we need to sign an MSA and create a profile",
NV,,Beatty Facility,Private landfill,,Yes,RCRA HAZ,Republic Services 800-239-3943,Kris Iverson: 971-803-1239,Sean Russel: 310-619-6063,"Hwy 95, 11 Miles S of Beatty, NV 89003",https://www.republicservices.com/facilities/nevada/beatty-facility,300,2000,lbs,10.5,2,"To get an exact quote, we need to sign an MSA and create a profile",
NV,Never heard back,Carson City Landfill,Private landfill,,?,No hazardous waste,Waste Management,775-882-6066- Main Number 800-963-4776- Special Waste                                    559-834-3345- Felicity Mendez,,"3600 Flint Road, Carson City, NV 89701",,,,,,,,
NV,,Crestline,,,,,,,,,,,,,,,,
NV,,Dry Lake Site,,,,,,,,,,,,,,,,
NV,,Elko Landfill,Private landfill,,No,No hazardous waste,Elko City,775-777-7394- Scale House    775-777-7395- Information Line*,,2200 Pinion Road,https://www.elkocity.com/departments/municipal_landfill/index.php,,,,,,*Information line only provides hours of operation and directions to the dump.,
NV,,Ely,,,,,,,,,,,,,,,,
NV,,Eureka,,,,,,,,,,,,,,,,
NV,,Goldfield,,,,,,,,,,,,,,,,
NV,,Hawthorne,,,,,,,,,,,,,,,,
NV,,Henderson Yard,Private landfill,,Yes,Requires TCLP testing; No hazardous waste,Nevada Devision of Environmental Protection,702-369-4243,,691 West Warmsprings,https://www.westerneliteenvironmental.com/,65,2000,lbs,2.275,1,$65/ton: under 1200 $40 minimum (prorated),
NV,,Humboldt County Regional Landfill,County Run Landfill,,No,No large quanitities of hazardous waste; Residents only (with exceptions).,Humboldt County,775-623-2985,Karen: 775-623-6300,"833 E 4th Street Winnemucca, Nevada 89445",https://www.humboldtcountynv.gov/343/Landfill,,,,,,"For more information regarding non-acceptable items, hazardous and/or contaminated waste from within the County, please call Jolinda with the Regional Landfill Contractor, Delong Construction and Drilling at 775-623-2985.",
NV,,Kennametal,,,,,,,,,,,,,,,,
NV,Never heard back,Lockwood Regional Landfill,Private landfill,,?,No hazardous waste,Waste Management,775-342-0401,,"2700 East Mustang Road, Spakrs, NV  89434",https://lockwoodlandfill.wm.com/index.jsp,,,,,,,
NV,,Mesquite Landfill,County Run Landfill,,Yes (See notes),Hazardous waste accepted.,Lincoln County,702-346-5396,,"3200 Mesquite Heights Rd, Mesquite, NV 89034",,,,,,,MUST BE A RESIDENT! Solar panels are accepted but only in 90 gallon residential cans!,
NV,,New Austin,,,,,,,,,,,,,,,,
NV,,Pahrump Valley,,,,,,,,,,,,,,,,
NV,,Pershing County,,,,,,,,,,,,,,,,
NV,,Republice Services Apex Landfill,Private landfill,,Yes,Requires profiling to indentify hazardous waste potential; Either SDS of TCLP required; No Haz,Republic Services,702-599-5920- Apex Facility   702-599-5907- Rob Tidwell (Special Waste Services),,"13550 US Hwy 93, Las Vegas, NV 89165",https://www.republicservices.com/municipality/southern-nevada/service-information?utm_source=yext.com&utm_medium=referral&utm_campaign=Yext_Profile_Click_Google&utm_term=3825,50,2000,lbs,1.75,1,$50/ ton with tax (2.3%) and $400 minimum for load fee.,
NV,,Round Mountain,,,,,,,,,,,,,,,,
NV,,Russel Pass,,,,,,,,,,,,,,,,
NV,,Tonopah,,,,,,,,,,,,,,,,
NV,,Western Elite Landfill,Private landfill,,Yes,Requires TCLP testing; No hazardous waste,Nevada Devision of Environmental Protection,702-369-4242,,"93 US Hwy, Alamo, NV 89001",https://www.westerneliteenvironmental.com/,58,2000,lbs,2.03,1,$58/ton and $50 minimum,
TX,,DFW Landfill,Private Landfill,,No,No Hazardous Waste,Waste Management (WM),972-315-5421,,"1601 S Railroad St, Lewisville, TX",,,,,,0,,
TX,,McCommas Bluff Landfill,State Run Landfill,,No,No Hazardous Waste,,,,,,,,,,0,,
TX,,McCommas Bluff Recycling Center,State Run Landfill,,No,No Hazardous Waste,,,,,,,,,,0,,
TX,,WM-Covel Gardens Landfill,Private Landfill,,No,No Hazardous Waste,Waste Management (WM),210-623-8800,,8611 Covel Rd,,,,,,0,,
TX,,Travis County Landfill lesi,Private Landfill,,No,No Hazardous Waste,,,,,,,,,,0,,
TX,,Texas Disposal Systems,State Run Landfill,,No,No paint.,Creedmoor County,800-375-8375,,"12200 Carl Road, Creedmoor TX 78610",https://www.cityofcreedmoortx.gov/places/texas-disposal-systems/,,,,,0,,
TX,,Itasca Landfill,Private Landfill,,?,,,,,,,,,,,0,No response,
TX,,Camelot Landfill,Private Landfill,,?,,,,,,,,,,,0,,
TX,,Elcentro Landfills,Private Landfill,,Yes,No hazardous waste; TCLP required,Republic Services,,,,,116.78,2000,lbs,4.0873,1,,
TX,,Dimmitt City Landfill,State Run Landfill,,No,,,,,,,,,,,0,,
TX,,Charter Waste Landfill,Private Landfill,,Yes,No hazardous waste; TCLP required,Republic Services,806-342-6200,Special waste: 806-342-6217- Special Waste; Canyon landfill: 806-342-6245 ,"Charter Landfill, El Centro Landfill, Victoria Landfill*",https://www.republicservices.com/,116.78,2000,lbs,4.0873,1,*These locations were directly approved by the sales/customer service manager. These are the most reliable.,No limits
TX,,Anderson County Landfill,Municipal Landfill,,?,,,,,,,,,,,0,,
TX,,Abilene Environmental Landfill,Private Landfill,,Yes,Must complete a profile; Requires MDS; No hazardous Waste,Alamo One ,325-437-3093,,"1984 FM 3034 Abilene, TX 79601",Must create an account in order to view their site. https://townsquareinteractive.com/,50,2000,lbs,1.75,1,,Depends on materials. Usually no limit if acceptable.
TX,,Victoria Landfill,Private Landfill,,Yes,No hazardous waste; TCLP required,Republic Services,361-698-5000,,"18545 1686 Bloomington, TX 77951",https://www.republicservices.com/customer-support/facilities,116.78,2000,lbs,4.0873,1,,
NM,Called UW systems of NM who are a hauler,Butterfield Trail Regional Landfill,Municipal,,,,,?,,Exit 368 off I-10 Deming NM 88031,,,,,,,,
NM,,Caja del Rio Landfill,,,,,,505-424-1850,,State Rd. 599 and Caja Del Rio Road Santa Fe NM 87506,,,,,,,,
NM,,Camino Real Landfill,,,,,,575-589-9440,,1000 Camino Real Blvd Sunland Park NM 88063,,,,,,,,
NM,,Cerro Colorado Landfill,,,,,,505-761-8300,,18000 Cerro Colorado SW Albuuerque NM 87107,,,,,,,,
NM,,City of Socorro Landfill (Permitted),,,,,,575-835-4279,,24663 Hwy 64 Socorro NM 87801,,,,,,,,
NM,PV is considered speciality waste,Clovis Regional Solid Waste Facility Landfill,,,No,,,575-769-2376,,2801 E. Brady Ave Clovis NM 88101,,,,,,,,
NM,,Corralitos Regional Landfill,,,,,,575-528-3800,,14535 Robert Larson Blvd Las Cruces NM 88005,,,,,,,,
NM,,De Baca County Solid Waste Facility,,,,,,575-355-2000,, Fort Sumner NM 88119,,,,,,,,
NM,,Estancia Valley Regional LF,,,,,,505-384-4270,,249 Sidewinder Rd. Estancia NM 87016,,,,,,,,
NM,,Keers Asbestos Landfill,,,,,,505-847-2917,,91 Liberty Valley Rd Mountainair NM 87133,,,,,,,,
NM,,Lea County Landfill,,,,,,575-394-9109,,3219 E. State Rd 234 Eunice NM 88231,,,,,,,,
NM,All we take is petroleum contaiminated soil,Lea Land Inc. Industrial Solid Waste Landfill,,,No,,,405-236-4257,,6387 Hobbs Hwy Hobbs NM 73106,,,,,,,,
NM,,Mesa Verde C & D Landfill,,,,,,575-437-2995,,601 La Luz Gate Road Alamogordo NM 88311,,,,,,,,
NM,Need to check restrictions,Northeastern New Mexico Regional Landfill,,Yes,Yes,No haz; must have TCLP,,575-668-2000,Jonathan Arthur:,39346 Frontage Rd. Wagon Mound NM 87752,,39.5,2000,lbs,1.3825,1,,
NM,,Otero-Greentree Regional Landfill,,,,,,575-430-8678,,4258 Hwy. 54 South Alamogordo NM 88310,,,,,,,,
NM,,Red Rocks Regional Landfill,,,,,,505-905-8402,,101 Red Mesa Bluffs Rd. Thoreau NM 87323,,,,,,,,
NM,,Rio Rancho Landfill,,,,,Waste Management,505-433-6053,,1132 33rd St. Rio Rancho Rio Rancho NM 87174,,,,,,,,
NM,,Roswell Municipal Landfill,,,,,,575-624-6746,,3006 West Brasher Road Roswell NM 88203,,,,,,,,
NM,,San Juan County Regional Landfill,,,,,Waste Management,505-386-5003,,78 CR 3140 Aztec NM 87410,,,,,,,,
NM,,Sand Point,,,,,,575-200-5642,,410 East Derrick Carlsbad NM 88220,,,,,,,,
NM,,Sandoval County Landfill and Composting Facility,,,,,,505-269-6120,,2700 Iris RD Rio Rancho NM 87144,,,,,,,,
NM,,Southwest Landfill LLC,,,,,,505-242-2020,,5816 Pajarito Road SW Albuquerque NM 87121,,,,,,,,
NM,Called and got VM; CALL BACK,Silver City Landfill,,,,,Southwest Solid Waste Authority,575-388-8051,,318 Ridge Road Silver City NM 88062,,,,,,,,
NM,,Taos Regional Landfill,,,,,,575-751-2000,,"Taos County, New Mexico Taos NM 87571",,,,,,,,
NM,,Tucumcari Landfill (New),,,,,,575-403-6337,,30652 US Highway 54 Tucumcari NM 88401,,,,,,,,
NM,,Valencia Regional Landfill and Recycling Facility,,,,,,505-433-6053,,40 Landfill Road Los Lunas NM 87174,,,,,,,,
NM,Reached VM,Vaughn C&D/Asbestos Landfill,,,,,,575-584-2301,,1820 Mesa de Leon Rd Vaughn NM 88353,,,,,,,,
